GEN_NUMB;BEST_FITNESS;MID_FITNESS;WORST_FITNESS
1;4557;836;0;
2;4457;818;0;
3;4220;793;0;
4;4630;825;0;
5;4186;806;0;
6;4284;837;0;
7;4436;858;0;
8;3918;736;0;
9;4593;821;0;
10;4379;830;0;
11;4277;794;0;
12;4264;888;0;
13;4492;862;0;
14;4720;870;0;
15;4250;844;0;
16;4445;821;0;
17;4459;848;0;
18;4757;820;0;
19;4528;843;0;
20;4407;749;0;
21;4625;844;0;
22;4572;849;0;
23;4192;768;0;
24;4468;835;0;
25;4509;786;0;
26;4972;781;0;
27;4452;840;0;
28;4584;857;0;
29;4586;850;0;
30;4420;822;-3.402823E+38;
31;4350;856;0;
32;4510;816;0;
33;4902;798;0;
34;4571;845;0;
35;4491;807;0;
36;4582;855;0;
37;4727;811;0;
38;4535;836;0;
39;4785;814;0;
40;4311;861;0;
41;4453;845;0;
42;4605;865;0;
43;4426;811;0;
44;4299;875;0;
45;4246;824;0;
46;4552;830;0;
47;4407;799;-3.402823E+38;
48;4741;881;0;
49;4583;837;0;
50;4256;840;0;
51;4355;883;0;
52;4590;831;0;
53;4611;902;0;
54;4522;837;0;
55;4717;832;0;
56;4746;844;0;
57;4280;875;0;
58;4471;848;0;
59;4536;852;0;
60;4648;911;0;
61;4289;808;0;
62;4309;876;0;
63;4340;847;0;
64;4381;804;0;
65;4494;843;0;
66;4473;853;0;
67;4421;875;0;
68;4328;828;0;
69;4819;877;0;
70;4403;840;0;
71;4587;863;0;
72;3976;806;0;
73;4059;783;0;
74;4375;794;0;
75;4262;793;0;
76;4659;829;0;
77;4315;825;0;
78;4255;827;0;
79;4178;826;0;
80;4309;827;0;
81;4379;849;0;
82;4357;851;0;
83;4526;834;0;
84;4308;856;0;
85;4159;833;0;
86;4541;799;0;
87;4954;860;0;
88;4645;891;0;
89;4306;847;0;
90;4331;888;0;
91;4629;846;0;
92;4318;886;0;
93;5066;818;0;
94;4318;847;0;
95;4305;828;0;
96;4515;888;0;
97;4421;846;-3.402823E+38;
98;4322;841;0;
99;4360;894;0;
100;4834;812;0;
