GEN_NUMB;ELEMENT;BEST_FITNESS; MID_FITNESS; WORST_FITNESS
53;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;192952;897;0;
54;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;301481;932;0;
55;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;306785;915;0;
56;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;204333;975;0;
57;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;75275;939;0;
58;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;325861;957;0;
59;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;255782;933;0;
60;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;405517;973;0;
61;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;327128;972;0;
62;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;372175;899;0;
63;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;354542;922;0;
64;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;214695;921;0;
65;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;349526;904;0;
66;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;139115;918;0;
67;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;270477;872;0;
68;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;330371;940;0;
69;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;208157;936;0;
70;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;88275;976;0;
71;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;452530;940;0;
72;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;380516;935;0;
73;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;273841;926;0;
74;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;146003;876;0;
75;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;169250;972;0;
76;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;248901;996;0;
77;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;158020;927;0;
78;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;215964;950;0;
79;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;269684;911;0;
80;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;333818;932;0;
81;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;176186;933;0;
82;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;198366;960;0;
83;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;357131;994;0;
84;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;412109;921;0;
85;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;304054;913;0;
86;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;194545;917;0;
87;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;4906;971;0;
88;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;363832;905;0;
89;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;285894;986;0;
90;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;231473;927;0;
91;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;78270;946;0;
92;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;427947;941;0;
93;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;287702;982;0;
94;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;385543;923;0;
95;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;316700;989;0;
96;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;120669;979;0;
97;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;8061;992;0;
98;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;328283;954;0;
99;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;359769;952;0;
100;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;164216;884;0;
101;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;248175;994;0;
102;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;42412;945;0;
103;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;397630;922;0;
104;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;441187;905;0;
105;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;295732;942;0;
106;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;308576;905;0;
107;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;59866;908;0;
108;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;332405;905;0;
109;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;244671;916;0;
110;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;190898;915;0;
111;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;94780;893;0;
112;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;279716;934;0;
113;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;254254;941;0;
114;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;269216;953;0;
115;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;185353;909;0;
116;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;313534;993;0;
117;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;258346;983;0;
118;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;443379;950;0;
119;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;447390;1058;0;
120;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;313687;951;0;
121;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;25968;913;0;
122;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;389607;921;0;
123;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;431516;927;0;
124;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;307286;906;0;
